player_ID,player_name,player_dmg,player_kills,player_assists,player_dist_walk,player_dist_ride,player_survive_time,game_size,team_id,team_placement,party_size,match_mode,match_id,date
10065,FetusMunch4000,526,5,0,2865.3147,0,1331.681,37,35,15,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10066,fetusmuncher4001,156,1,1,1655.58484,0,884.094,37,35,15,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10067,Maerkk,487,4,0,2527.957,3131.99243,2181.983,37,36,1,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10068,Supertasks,422,2,2,3132.213,2320.16479,2181.983,37,36,1,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10069,Linkraal,94,1,0,743.8507,0,551.698,37,45,28,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10070,Chumbe,33,0,0,773.959839,0,474.098,37,45,28,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10071,pananm55-,80,0,0,3220.901,4078.597,1606.694,37,11,8,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10072,LPL-buibuibui,350,3,0,3390.26147,3551.88867,1659.703,37,11,8,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10073,Cinnamon-_,61,0,1,2461.157,1359.64771,968.965,37,28,21,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10074,jackomino,63,1,0,2696.691,1383.54761,968.969,37,28,21,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10075,saver12138,203,2,1,1721.58,659.240967,904.9,42,2,21,2,tpp,2U4GBNA0YmnIQQesqcucTHDFVqlXEAUiUHhJp3yec6c0hzQHABUNJuJZ21mrZjZn,2017-12-10T04:09:59+0000
10076,krisns,0,0,0,1889.31848,642.7572,905.055,42,2,21,2,tpp,2U4GBNA0YmnIQQesqcucTHDFVqlXEAUiUHhJp3yec6c0hzQHABUNJuJZ21mrZjZn,2017-12-10T04:09:59+0000
10077,the49ersguy,81,0,0,2347.73071,2277.78564,1352.823,42,3,10,2,tpp,2U4GBNA0YmnIQQesqcucTHDFVqlXEAUiUHhJp3yec6c0hzQHABUNJuJZ21mrZjZn,2017-12-10T04:09:59+0000
10078,BIGSEX,99,1,0,2420.6438,2281.09668,1351.337,42,3,10,2,tpp,2U4GBNA0YmnIQQesqcucTHDFVqlXEAUiUHhJp3yec6c0hzQHABUNJuJZ21mrZjZn,2017-12-10T04:09:59+0000
10079,aLinqqqqq,182,2,0,2374.72168,2652.30835,1092.272,42,6,18,2,tpp,2U4GBNA0YmnIQQesqcucTHDFVqlXEAUiUHhJp3yec6c0hzQHABUNJuJZ21mrZjZn,2017-12-10T04:09:59+0000
10080,sdTWTbs,101,1,1,2204.01416,2651.39771,1017.091,42,6,18,2,tpp,2U4GBNA0YmnIQQesqcucTHDFVqlXEAUiUHhJp3yec6c0hzQHABUNJuJZ21mrZjZn,2017-12-10T04:09:59+0000
10081,sapoww,103,0,0,220.858765,0,193.418,42,9,38,2,tpp,2U4GBNA0YmnIQQesqcucTHDFVqlXEAUiUHhJp3yec6c0hzQHABUNJuJZ21mrZjZn,2017-12-10T04:09:59+0000
10082,Lux-xXx,63,0,0,236.40416,0,201.994,42,9,38,2,tpp,2U4GBNA0YmnIQQesqcucTHDFVqlXEAUiUHhJp3yec6c0hzQHABUNJuJZ21mrZjZn,2017-12-10T04:09:59+0000
10083,5tygfv,44,0,0,1362.50708,5891.52734,1210.468,42,10,12,2,tpp,2U4GBNA0YmnIQQesqcucTHDFVqlXEAUiUHhJp3yec6c0hzQHABUNJuJZ21mrZjZn,2017-12-10T04:09:59+0000
10084,yjcwjh,0,0,0,70.29319,3420.90161,308.066,42,10,12,2,tpp,2U4GBNA0YmnIQQesqcucTHDFVqlXEAUiUHhJp3yec6c0hzQHABUNJuJZ21mrZjZn,2017-12-10T04:09:59+0000
10085,DeadliestAyyyrab,44,0,0,2554.21777,0,1153.834,42,12,15,2,tpp,2U4GBNA0YmnIQQesqcucTHDFVqlXEAUiUHhJp3yec6c0hzQHABUNJuJZ21mrZjZn,2017-12-10T04:09:59+0000
10086,DeadlyAyrab,90,1,0,2426.04834,0,1153.83,42,12,15,2,tpp,2U4GBNA0YmnIQQesqcucTHDFVqlXEAUiUHhJp3yec6c0hzQHABUNJuJZ21mrZjZn,2017-12-10T04:09:59+0000
10087,SJSJGBT,0,0,0,467.9161,2759.32251,327.032,42,18,31,2,tpp,2U4GBNA0YmnIQQesqcucTHDFVqlXEAUiUHhJp3yec6c0hzQHABUNJuJZ21mrZjZn,2017-12-10T04:09:59+0000
10088,cole_milk,0,0,0,361.898163,3408.53125,361.634,42,18,31,2,tpp,2U4GBNA0YmnIQQesqcucTHDFVqlXEAUiUHhJp3yec6c0hzQHABUNJuJZ21mrZjZn,2017-12-10T04:09:59+0000
10089,Kungfumanduhh,60,0,0,106.991241,0,137.595,42,23,36,2,tpp,2U4GBNA0YmnIQQesqcucTHDFVqlXEAUiUHhJp3yec6c0hzQHABUNJuJZ21mrZjZn,2017-12-10T04:09:59+0000
